ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
CM_02-config_bo,1,2000,2/18/2021 4:11:47 PM,140,14,3,109.64,0
CM_02-config_bo,2,2000,2/18/2021 4:11:47 PM,10,1,0,0.56,0
CM_02-config_bo,3,2000,2/18/2021 4:11:47 PM,20,2,1,2.91,0
CM_02-config_bo,4,2000,2/18/2021 4:11:47 PM,10,1,0,0.5,0
CM_02-config_bo,5,2000,2/18/2021 4:11:47 PM,10,1,12,18.93,0
CM_02-config_bo,6,2000,2/18/2021 4:11:47 PM,10,1,0,0.86,0
CM_02-config_bo,7,2000,2/18/2021 4:11:47 PM,10,1,0,0.34,0
CM_02-config_bo,8,2000,2/18/2021 4:11:47 PM,10,1,0,0.5,0
CM_02-config_bo,9,2000,2/18/2021 4:11:47 PM,40,4,0,2.6,0
CM_02-config_bo,10,2000,2/18/2021 4:11:47 PM,10,1,0,0.4,0
CM_02-config_bo,11,2000,2/18/2021 4:11:47 PM,80,8,2,6.7,0
CM_02-config_bo,12,2000,2/18/2021 4:11:47 PM,10,1,0,0.24,0
CM_02-config_bo,13,2000,2/18/2021 4:11:47 PM,10,1,0,0.54,0
CM_02-config_bo,14,2000,2/18/2021 4:11:47 PM,10,1,0,0.76,0
CM_02-config_bo,15,2000,2/18/2021 4:11:47 PM,60,6,2,5.65,0
CM_02-config_bo,16,2000,2/18/2021 4:11:47 PM,10,1,0,0.44,0
CM_02-config_bo,17,2000,2/18/2021 4:11:47 PM,130,13,0,5.64,0
CM_02-config_bo,18,2000,2/18/2021 4:11:47 PM,10,1,0,0.44,0
CM_02-config_bo,19,2000,2/18/2021 4:11:47 PM,10,1,0,0.4,0
CM_02-config_bo,20,2000,2/18/2021 4:11:47 PM,60,6,2,4.75,0
CM_02-config_bo,21,2000,2/18/2021 4:11:47 PM,70,7,3,5.89,0
CM_02-config_bo,22,2000,2/18/2021 4:11:47 PM,10,1,0,0.34,0
CM_02-config_bo,23,2000,2/18/2021 4:11:47 PM,10,1,0,0.5,0
CM_02-config_bo,24,2000,2/18/2021 4:11:47 PM,180,18,1,11.06,0
CM_02-config_bo,25,2000,2/18/2021 4:11:47 PM,60,6,2,5.37,0
CM_02-config_bo,26,2000,2/18/2021 4:11:47 PM,30,3,0,1.74,0
CM_02-config_bo,27,2000,2/18/2021 4:11:47 PM,10,1,0,0.6,0
CM_02-config_bo,28,2000,2/18/2021 4:11:47 PM,10,1,0,0.42,0
CM_02-config_bo,29,2000,2/18/2021 4:11:47 PM,10,1,0,0.52,0
CM_02-config_bo,30,2000,2/18/2021 4:11:47 PM,10,1,0,0.46,0
CM_02-config_bo,31,2000,2/18/2021 4:11:47 PM,10,1,0,0.78,0
CM_02-config_bo,32,2000,2/18/2021 4:11:47 PM,10,1,0,0.52,0
CM_02-config_bo,33,2000,2/18/2021 4:11:47 PM,70,7,2,12.71,0
CM_02-config_bo,34,2000,2/18/2021 4:11:47 PM,90,9,3,14.13,0
CM_02-config_bo,35,2000,2/18/2021 4:11:47 PM,10,1,0,0.36,0
CM_02-config_bo,36,2000,2/18/2021 4:11:47 PM,120,12,1,10.56,0
CM_02-config_bo,37,2000,2/18/2021 4:11:47 PM,120,12,0,6.24,0
CM_02-config_bo,38,2000,2/18/2021 4:11:47 PM,30,3,2,5.27,0
CM_02-config_bo,39,2000,2/18/2021 4:11:47 PM,140,14,2,14.28,0
CM_02-config_bo,40,2000,2/18/2021 4:11:47 PM,80,8,3,15.97,0
CM_02-config_bo,41,2000,2/18/2021 4:11:47 PM,10,1,0,0.6,0
CM_02-config_bo,42,2000,2/18/2021 4:11:47 PM,10,1,0,0.46,0
CM_02-config_bo,43,2000,2/18/2021 4:11:47 PM,10,1,0,0.42,0
CM_02-config_bo,44,2000,2/18/2021 4:11:47 PM,10,1,0,0.58,0
CM_02-config_bo,45,2000,2/18/2021 4:11:47 PM,160,16,1,9.86,0
CM_02-config_bo,46,2000,2/18/2021 4:11:47 PM,10,1,0,0.6,0
CM_02-config_bo,47,2000,2/18/2021 4:11:47 PM,10,1,0,0.42,0
CM_02-config_bo,48,2000,2/18/2021 4:11:47 PM,10,1,0,0.45,0
CM_02-config_bo,49,2000,2/18/2021 4:11:47 PM,10,1,0,0.54,0
CM_02-config_bo,50,2000,2/18/2021 4:11:47 PM,10,1,0,0.5,0
CM_02-config_bo,51,2000,2/18/2021 4:11:47 PM,10,1,0,0.56,0
CM_02-config_bo,52,2000,2/18/2021 4:11:47 PM,10,1,0,0.44,0
