ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - bo_13,1,15,2/16/2021 9:17:10 PM,20,2,1,99.93,0
Paddle - bo_13,2,15,2/16/2021 9:17:10 PM,10,1,1,0.64,0
Paddle - bo_13,3,15,2/16/2021 9:17:10 PM,140,14,4,13.1,0
Paddle - bo_13,4,15,2/16/2021 9:17:10 PM,30,3,0,2.59,0
Paddle - bo_13,5,15,2/16/2021 9:17:10 PM,90,9,0,7.1,0
Paddle - bo_13,6,15,2/16/2021 9:17:10 PM,100,10,2,8.09,0
Paddle - bo_13,7,15,2/16/2021 9:17:10 PM,70,7,1,4.41,0
Paddle - bo_13,8,15,2/16/2021 9:17:10 PM,10,1,2,5.03,0
Paddle - bo_13,9,15,2/16/2021 9:17:10 PM,10,1,0,1.68,0
Paddle - bo_13,10,15,2/16/2021 9:17:10 PM,110,11,1,4.91,0
Paddle - bo_13,11,15,2/16/2021 9:17:10 PM,10,1,0,0.58,0
Paddle - bo_13,12,15,2/16/2021 9:17:10 PM,60,6,1,6.11,0
Paddle - bo_13,13,15,2/16/2021 9:17:10 PM,60,6,3,4.73,0
Paddle - bo_13,14,15,2/16/2021 9:17:10 PM,10,1,0,0.74,0
Paddle - bo_13,15,15,2/16/2021 9:17:10 PM,50,5,0,2.92,0
