ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_19,1,2000,2/28/2021 12:48:43 PM,170,17,13,158.63,0
Paddle - lc_19,2,2000,2/28/2021 12:48:43 PM,200,20,3,15.62,0
Paddle - lc_19,3,2000,2/28/2021 12:48:43 PM,20,2,2,3.41,0
Paddle - lc_19,4,2000,2/28/2021 12:48:43 PM,50,5,4,10.5,0
Paddle - lc_19,5,2000,2/28/2021 12:48:43 PM,50,5,3,4.37,0
Paddle - lc_19,6,2000,2/28/2021 12:48:43 PM,180,18,2,15.98,0
Paddle - lc_19,7,2000,2/28/2021 12:48:43 PM,0,0,1,4.15,0
Paddle - lc_19,8,2000,2/28/2021 12:48:43 PM,30,3,3,11.02,0
Paddle - lc_19,9,2000,2/28/2021 12:48:43 PM,90,9,3,7.36,0
Paddle - lc_19,10,2000,2/28/2021 12:48:43 PM,180,18,3,15.78,0
Paddle - lc_19,11,2000,2/28/2021 12:48:43 PM,170,17,3,29.62,0
Paddle - lc_19,12,2000,2/28/2021 12:48:43 PM,70,7,3,9.3,0
Paddle - lc_19,13,2000,2/28/2021 12:48:43 PM,50,5,2,4.99,0
Paddle - lc_19,14,2000,2/28/2021 12:48:43 PM,30,3,1,4.23,0
Paddle - lc_19,15,2000,2/28/2021 12:48:43 PM,210,21,3,12.71,1
Paddle - lc_19,16,2000,2/28/2021 12:48:43 PM,160,16,1,11.63,0
Paddle - lc_19,17,2000,2/28/2021 12:48:43 PM,210,21,5,22.77,1
Paddle - lc_19,18,2000,2/28/2021 12:48:43 PM,30,3,9,14.13,0
Paddle - lc_19,19,2000,2/28/2021 12:48:43 PM,20,2,1,4.13,0
Paddle - lc_19,20,2000,2/28/2021 12:48:43 PM,210,21,16,25.62,1
Paddle - lc_19,21,2000,2/28/2021 12:48:43 PM,180,18,12,26.86,0
Paddle - lc_19,22,2000,2/28/2021 12:48:43 PM,0,0,0,2.78,0
Paddle - lc_19,23,2000,2/28/2021 12:48:43 PM,140,14,3,12.37,0
Paddle - lc_19,24,2000,2/28/2021 12:48:43 PM,0,0,0,2.78,0
Paddle - lc_19,25,2000,2/28/2021 12:48:43 PM,20,2,2,5.08,0
Paddle - lc_19,26,2000,2/28/2021 12:48:43 PM,210,21,2,16.54,1
Paddle - lc_19,27,2000,2/28/2021 12:48:43 PM,210,21,7,21.49,1
Paddle - lc_19,28,2000,2/28/2021 12:48:43 PM,180,18,8,13.75,0
Paddle - lc_19,29,2000,2/28/2021 12:48:43 PM,190,19,5,11.87,0
Paddle - lc_19,30,2000,2/28/2021 12:48:43 PM,210,21,12,28.97,1
Paddle - lc_19,31,2000,2/28/2021 12:48:43 PM,20,2,3,6.48,0
Paddle - lc_19,32,2000,2/28/2021 12:48:43 PM,150,15,8,13.85,0
Paddle - lc_19,33,2000,2/28/2021 12:48:43 PM,130,13,5,15.04,0
Paddle - lc_19,34,2000,2/28/2021 12:48:43 PM,10,1,2,2.73,0
Paddle - lc_19,35,2000,2/28/2021 12:48:43 PM,10,1,0,2.84,0
Paddle - lc_19,36,2000,2/28/2021 12:48:43 PM,30,3,3,5.66,0
Paddle - lc_19,37,2000,2/28/2021 12:48:43 PM,110,11,2,23.73,0
Paddle - lc_19,38,2000,2/28/2021 12:48:43 PM,60,6,4,9.42,0
Paddle - lc_19,39,2000,2/28/2021 12:48:43 PM,90,9,5,18.46,0
Paddle - lc_19,40,2000,2/28/2021 12:48:43 PM,100,10,5,16.12,0
Paddle - lc_19,41,2000,2/28/2021 12:48:43 PM,110,11,2,14.29,0
Paddle - lc_19,42,2000,2/28/2021 12:48:43 PM,40,4,0,2.5,0
Paddle - lc_19,43,2000,2/28/2021 12:48:43 PM,100,10,2,7.88,0
Paddle - lc_19,44,2000,2/28/2021 12:48:43 PM,0,0,6,11.69,0
Paddle - lc_19,45,2000,2/28/2021 12:48:43 PM,210,21,10,29.61,1
Paddle - lc_19,46,2000,2/28/2021 12:48:43 PM,130,13,2,10.66,0
Paddle - lc_19,47,2000,2/28/2021 12:48:43 PM,160,16,2,13.85,0
Paddle - lc_19,48,2000,2/28/2021 12:48:43 PM,170,17,6,18,0
Paddle - lc_19,49,2000,2/28/2021 12:48:43 PM,160,16,4,18.83,0
Paddle - lc_19,50,2000,2/28/2021 12:48:43 PM,110,11,4,14.72,0
Paddle - lc_19,51,2000,2/28/2021 12:48:43 PM,150,15,4,15.2,0
Paddle - lc_19,52,2000,2/28/2021 12:48:43 PM,20,2,2,5.65,0
Paddle - lc_19,53,2000,2/28/2021 12:48:43 PM,90,9,1,7.44,0
Paddle - lc_19,54,2000,2/28/2021 12:48:43 PM,200,20,7,18.27,0
Paddle - lc_19,55,2000,2/28/2021 12:48:43 PM,200,20,6,19.58,0
Paddle - lc_19,56,2000,2/28/2021 12:48:43 PM,200,20,3,17.92,0
Paddle - lc_19,57,2000,2/28/2021 12:48:43 PM,110,11,6,9.12,0
Paddle - lc_19,58,2000,2/28/2021 12:48:43 PM,110,11,6,13.63,0
Paddle - lc_19,59,2000,2/28/2021 12:48:43 PM,90,9,2,11.81,0
Paddle - lc_19,60,2000,2/28/2021 12:48:43 PM,140,14,5,33.1,0
Paddle - lc_19,61,2000,2/28/2021 12:48:43 PM,150,15,6,20.07,0
Paddle - lc_19,62,2000,2/28/2021 12:48:43 PM,180,18,5,16.41,0
Paddle - lc_19,63,2000,2/28/2021 12:48:43 PM,130,13,2,11.84,0
