ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_28_500k,1,2000,2/28/2021 7:52:01 PM,10,1,0,92.53,0
Paddle - lc_28_500k,2,2000,2/28/2021 7:52:01 PM,90,9,1,12.75,0
Paddle - lc_28_500k,3,2000,2/28/2021 7:52:01 PM,10,1,0,0.42,0
Paddle - lc_28_500k,4,2000,2/28/2021 7:52:01 PM,30,3,0,1.44,0
Paddle - lc_28_500k,5,2000,2/28/2021 7:52:01 PM,70,7,1,4.96,0
Paddle - lc_28_500k,6,2000,2/28/2021 7:52:01 PM,30,3,0,6.48,0
Paddle - lc_28_500k,7,2000,2/28/2021 7:52:01 PM,30,3,0,1.76,0
Paddle - lc_28_500k,8,2000,2/28/2021 7:52:01 PM,30,3,0,1.54,0
Paddle - lc_28_500k,9,2000,2/28/2021 7:52:01 PM,50,5,0,2.66,0
Paddle - lc_28_500k,10,2000,2/28/2021 7:52:01 PM,10,1,0,0.8,0
Paddle - lc_28_500k,11,2000,2/28/2021 7:52:01 PM,70,7,0,7.62,0
Paddle - lc_28_500k,12,2000,2/28/2021 7:52:01 PM,10,1,0,0.74,0
Paddle - lc_28_500k,13,2000,2/28/2021 7:52:01 PM,10,1,1,3.73,0
Paddle - lc_28_500k,14,2000,2/28/2021 7:52:01 PM,170,17,0,20.95,0
Paddle - lc_28_500k,15,2000,2/28/2021 7:52:01 PM,10,1,1,2.31,0
Paddle - lc_28_500k,16,2000,2/28/2021 7:52:01 PM,10,1,0,0.8,0
Paddle - lc_28_500k,17,2000,2/28/2021 7:52:01 PM,10,1,0,0.94,0
Paddle - lc_28_500k,18,2000,2/28/2021 7:52:01 PM,10,1,1,0.48,0
Paddle - lc_28_500k,19,2000,2/28/2021 7:52:01 PM,100,10,1,9.79,0
Paddle - lc_28_500k,20,2000,2/28/2021 7:52:01 PM,100,10,1,10.84,0
Paddle - lc_28_500k,21,2000,2/28/2021 7:52:01 PM,100,10,6,23.5,0
Paddle - lc_28_500k,22,2000,2/28/2021 7:52:01 PM,80,8,3,8.98,0
Paddle - lc_28_500k,23,2000,2/28/2021 7:52:01 PM,80,8,0,4.3,0
Paddle - lc_28_500k,24,2000,2/28/2021 7:52:01 PM,20,2,1,3.83,0
Paddle - lc_28_500k,25,2000,2/28/2021 7:52:01 PM,10,1,0,1.06,0
Paddle - lc_28_500k,26,2000,2/28/2021 7:52:01 PM,20,2,2,4.31,0
Paddle - lc_28_500k,27,2000,2/28/2021 7:52:01 PM,70,7,0,2.62,0
Paddle - lc_28_500k,28,2000,2/28/2021 7:52:01 PM,10,1,0,0.98,0
Paddle - lc_28_500k,29,2000,2/28/2021 7:52:01 PM,40,4,0,2.54,0
Paddle - lc_28_500k,30,2000,2/28/2021 7:52:01 PM,20,2,0,5.39,0
Paddle - lc_28_500k,31,2000,2/28/2021 7:52:01 PM,30,3,1,4.51,0
Paddle - lc_28_500k,32,2000,2/28/2021 7:52:01 PM,10,1,0,1.18,0
Paddle - lc_28_500k,33,2000,2/28/2021 7:52:01 PM,10,1,0,0.18,0
Paddle - lc_28_500k,34,2000,2/28/2021 7:52:01 PM,120,12,5,13.53,0
Paddle - lc_28_500k,35,2000,2/28/2021 7:52:01 PM,100,10,1,14.05,0
Paddle - lc_28_500k,36,2000,2/28/2021 7:52:01 PM,10,1,0,1.38,0
Paddle - lc_28_500k,37,2000,2/28/2021 7:52:01 PM,10,1,0,1.88,0
Paddle - lc_28_500k,38,2000,2/28/2021 7:52:01 PM,70,7,0,1.88,0
Paddle - lc_28_500k,39,2000,2/28/2021 7:52:01 PM,180,18,2,15.19,0
Paddle - lc_28_500k,40,2000,2/28/2021 7:52:01 PM,10,1,0,1.9,0
Paddle - lc_28_500k,41,2000,2/28/2021 7:52:01 PM,10,1,0,0.42,0
Paddle - lc_28_500k,42,2000,2/28/2021 7:52:01 PM,10,1,0,1.79,0
Paddle - lc_28_500k,43,2000,2/28/2021 7:52:01 PM,20,2,2,3.83,0
Paddle - lc_28_500k,44,2000,2/28/2021 7:52:01 PM,20,2,1,3.79,0
Paddle - lc_28_500k,45,2000,2/28/2021 7:52:01 PM,40,4,2,4.33,0
Paddle - lc_28_500k,46,2000,2/28/2021 7:52:01 PM,70,7,1,6.24,0
Paddle - lc_28_500k,47,2000,2/28/2021 7:52:01 PM,50,5,1,3.39,0
Paddle - lc_28_500k,48,2000,2/28/2021 7:52:01 PM,180,18,1,14.75,0
Paddle - lc_28_500k,49,2000,2/28/2021 7:52:01 PM,10,1,0,2.88,0
Paddle - lc_28_500k,50,2000,2/28/2021 7:52:01 PM,10,1,1,2.26,0
Paddle - lc_28_500k,51,2000,2/28/2021 7:52:01 PM,10,1,0,0.34,0
Paddle - lc_28_500k,52,2000,2/28/2021 7:52:01 PM,10,1,0,1.6,0
Paddle - lc_28_500k,53,2000,2/28/2021 7:52:01 PM,120,12,4,16.38,0
Paddle - lc_28_500k,54,2000,2/28/2021 7:52:01 PM,40,4,0,2.11,0
Paddle - lc_28_500k,55,2000,2/28/2021 7:52:01 PM,120,12,1,9.2,0
Paddle - lc_28_500k,56,2000,2/28/2021 7:52:01 PM,10,1,0,0.76,0
Paddle - lc_28_500k,57,2000,2/28/2021 7:52:01 PM,160,16,2,22.79,0
Paddle - lc_28_500k,58,2000,2/28/2021 7:52:01 PM,40,4,0,2.88,0
Paddle - lc_28_500k,59,2000,2/28/2021 7:52:01 PM,40,4,3,5.57,0
Paddle - lc_28_500k,60,2000,2/28/2021 7:52:01 PM,190,19,1,26.56,0
Paddle - lc_28_500k,61,2000,2/28/2021 7:52:01 PM,10,1,1,2.6,0
Paddle - lc_28_500k,62,2000,2/28/2021 7:52:01 PM,80,8,1,10.48,0
Paddle - lc_28_500k,63,2000,2/28/2021 7:52:01 PM,10,1,0,0.12,0
Paddle - lc_28_500k,64,2000,2/28/2021 7:52:01 PM,10,1,0,0.46,0
Paddle - lc_28_500k,65,2000,2/28/2021 7:52:01 PM,110,11,3,31.6,0
Paddle - lc_28_500k,66,2000,2/28/2021 7:52:01 PM,10,1,0,1.2,0
Paddle - lc_28_500k,67,2000,2/28/2021 7:52:01 PM,10,1,0,1.36,0
Paddle - lc_28_500k,68,2000,2/28/2021 7:52:01 PM,10,1,0,3.1,0
Paddle - lc_28_500k,69,2000,2/28/2021 7:52:01 PM,30,3,0,2.79,0
Paddle - lc_28_500k,70,2000,2/28/2021 7:52:01 PM,10,1,0,0.48,0
Paddle - lc_28_500k,71,2000,2/28/2021 7:52:01 PM,70,7,0,3.77,0
Paddle - lc_28_500k,72,2000,2/28/2021 7:52:01 PM,10,1,0,1.2,0
