ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_33_2M,1,2000,2/28/2021 8:37:55 PM,30,3,0,109.3,0
Paddle - lc_33_2M,2,2000,2/28/2021 8:37:55 PM,20,2,2,3.81,0
Paddle - lc_33_2M,3,2000,2/28/2021 8:37:55 PM,20,2,1,3.02,0
Paddle - lc_33_2M,4,2000,2/28/2021 8:37:55 PM,210,21,2,37.69,1
Paddle - lc_33_2M,5,2000,2/28/2021 8:37:55 PM,110,11,1,11.71,0
Paddle - lc_33_2M,6,2000,2/28/2021 8:37:55 PM,140,14,1,8.69,0
Paddle - lc_33_2M,7,2000,2/28/2021 8:37:55 PM,50,5,2,5.83,0
Paddle - lc_33_2M,8,2000,2/28/2021 8:37:55 PM,10,1,1,4.41,0
Paddle - lc_33_2M,9,2000,2/28/2021 8:37:55 PM,120,12,1,11.02,0
Paddle - lc_33_2M,10,2000,2/28/2021 8:37:55 PM,20,2,0,2.52,0
Paddle - lc_33_2M,11,2000,2/28/2021 8:37:55 PM,150,15,0,9.28,0
Paddle - lc_33_2M,12,2000,2/28/2021 8:37:55 PM,180,18,3,17.06,0
Paddle - lc_33_2M,13,2000,2/28/2021 8:37:55 PM,80,8,2,9.67,0
Paddle - lc_33_2M,14,2000,2/28/2021 8:37:55 PM,180,18,5,29.09,0
Paddle - lc_33_2M,15,2000,2/28/2021 8:37:55 PM,20,2,1,7.24,0
Paddle - lc_33_2M,16,2000,2/28/2021 8:37:55 PM,180,18,0,19.3,0
Paddle - lc_33_2M,17,2000,2/28/2021 8:37:55 PM,10,1,4,4.81,0
Paddle - lc_33_2M,18,2000,2/28/2021 8:37:55 PM,90,9,1,14.68,0
Paddle - lc_33_2M,19,2000,2/28/2021 8:37:55 PM,20,2,2,5.29,0
Paddle - lc_33_2M,20,2000,2/28/2021 8:37:55 PM,160,16,11,25.32,0
Paddle - lc_33_2M,21,2000,2/28/2021 8:37:55 PM,10,1,1,2.66,0
Paddle - lc_33_2M,22,2000,2/28/2021 8:37:55 PM,20,2,1,2.68,0
Paddle - lc_33_2M,23,2000,2/28/2021 8:37:55 PM,10,1,2,3.37,0
Paddle - lc_33_2M,24,2000,2/28/2021 8:37:55 PM,120,12,1,8.08,0
Paddle - lc_33_2M,25,2000,2/28/2021 8:37:55 PM,130,13,0,17.72,0
Paddle - lc_33_2M,26,2000,2/28/2021 8:37:55 PM,70,7,1,9.52,0
Paddle - lc_33_2M,27,2000,2/28/2021 8:37:55 PM,20,2,2,4.17,0
Paddle - lc_33_2M,28,2000,2/28/2021 8:37:55 PM,10,1,0,0.84,0
Paddle - lc_33_2M,29,2000,2/28/2021 8:37:55 PM,20,2,3,3.25,0
Paddle - lc_33_2M,30,2000,2/28/2021 8:37:55 PM,160,16,6,22.75,0
Paddle - lc_33_2M,31,2000,2/28/2021 8:37:55 PM,30,3,2,4.07,0
Paddle - lc_33_2M,32,2000,2/28/2021 8:37:55 PM,100,10,1,10.5,0
Paddle - lc_33_2M,33,2000,2/28/2021 8:37:55 PM,20,2,1,3.23,0
Paddle - lc_33_2M,34,2000,2/28/2021 8:37:55 PM,100,10,1,10.38,0
Paddle - lc_33_2M,35,2000,2/28/2021 8:37:55 PM,50,5,2,6.2,0
Paddle - lc_33_2M,36,2000,2/28/2021 8:37:55 PM,30,3,4,6.18,0
Paddle - lc_33_2M,37,2000,2/28/2021 8:37:55 PM,20,2,2,3.33,0
Paddle - lc_33_2M,38,2000,2/28/2021 8:37:55 PM,100,10,3,7.09,0
Paddle - lc_33_2M,39,2000,2/28/2021 8:37:55 PM,20,2,1,4.45,0
Paddle - lc_33_2M,40,2000,2/28/2021 8:37:55 PM,20,2,2,3.69,0
Paddle - lc_33_2M,41,2000,2/28/2021 8:37:55 PM,10,1,0,0.5,0
Paddle - lc_33_2M,42,2000,2/28/2021 8:37:55 PM,10,1,2,6.81,0
Paddle - lc_33_2M,43,2000,2/28/2021 8:37:55 PM,150,15,1,9.02,0
Paddle - lc_33_2M,44,2000,2/28/2021 8:37:55 PM,50,5,1,5.35,0
Paddle - lc_33_2M,45,2000,2/28/2021 8:37:55 PM,140,14,1,11.32,0
Paddle - lc_33_2M,46,2000,2/28/2021 8:37:55 PM,70,7,5,12.77,0
Paddle - lc_33_2M,47,2000,2/28/2021 8:37:55 PM,30,3,3,6.69,0
Paddle - lc_33_2M,48,2000,2/28/2021 8:37:55 PM,60,6,2,5.75,0
Paddle - lc_33_2M,49,2000,2/28/2021 8:37:55 PM,40,4,1,3.78,0
Paddle - lc_33_2M,50,2000,2/28/2021 8:37:55 PM,20,2,1,4.23,0
Paddle - lc_33_2M,51,2000,2/28/2021 8:37:55 PM,170,17,4,12.65,0
Paddle - lc_33_2M,52,2000,2/28/2021 8:37:55 PM,20,2,2,3.93,0
Paddle - lc_33_2M,53,2000,2/28/2021 8:37:55 PM,180,18,2,15.32,0
Paddle - lc_33_2M,54,2000,2/28/2021 8:37:55 PM,100,10,7,10.68,0
Paddle - lc_33_2M,55,2000,2/28/2021 8:37:55 PM,10,1,2,3.13,0
Paddle - lc_33_2M,56,2000,2/28/2021 8:37:55 PM,190,19,2,13.05,0
Paddle - lc_33_2M,57,2000,2/28/2021 8:37:55 PM,120,12,4,10.05,0
Paddle - lc_33_2M,58,2000,2/28/2021 8:37:55 PM,120,12,1,11.71,0
Paddle - lc_33_2M,59,2000,2/28/2021 8:37:55 PM,120,12,1,9.12,0
Paddle - lc_33_2M,60,2000,2/28/2021 8:37:55 PM,90,9,3,14.43,0
Paddle - lc_33_2M,61,2000,2/28/2021 8:37:55 PM,190,19,4,41.59,0
Paddle - lc_33_2M,62,2000,2/28/2021 8:37:55 PM,10,1,2,6.76,0
Paddle - lc_33_2M,63,2000,2/28/2021 8:37:55 PM,200,20,9,27.03,0
Paddle - lc_33_2M,64,2000,2/28/2021 8:37:55 PM,130,13,2,14.11,0
Paddle - lc_33_2M,65,2000,2/28/2021 8:37:55 PM,80,8,3,18.36,0
Paddle - lc_33_2M,66,2000,2/28/2021 8:37:55 PM,70,7,2,6.56,0
Paddle - lc_33_2M,67,2000,2/28/2021 8:37:55 PM,70,7,2,7.16,0
Paddle - lc_33_2M,68,2000,2/28/2021 8:37:55 PM,90,9,6,8.94,0
Paddle - lc_33_2M,69,2000,2/28/2021 8:37:55 PM,20,2,0,2.6,0
Paddle - lc_33_2M,70,2000,2/28/2021 8:37:55 PM,70,7,0,6.32,0
Paddle - lc_33_2M,71,2000,2/28/2021 8:37:55 PM,90,9,2,17.36,0
Paddle - lc_33_2M,72,2000,2/28/2021 8:37:55 PM,190,19,3,20.97,0
Paddle - lc_33_2M,73,2000,2/28/2021 8:37:55 PM,170,17,11,27.55,0
Paddle - lc_33_2M,74,2000,2/28/2021 8:37:55 PM,60,6,2,5.13,0
Paddle - lc_33_2M,75,2000,2/28/2021 8:37:55 PM,30,3,4,8.73,0
Paddle - lc_33_2M,76,2000,2/28/2021 8:37:55 PM,10,1,0,0.76,0
Paddle - lc_33_2M,77,2000,2/28/2021 8:37:55 PM,160,16,2,10.6,0
Paddle - lc_33_2M,78,2000,2/28/2021 8:37:55 PM,110,11,1,6.18,0
Paddle - lc_33_2M,79,2000,2/28/2021 8:37:55 PM,150,15,4,13.33,0
Paddle - lc_33_2M,80,2000,2/28/2021 8:37:55 PM,100,10,1,11.47,0
Paddle - lc_33_2M,81,2000,2/28/2021 8:37:55 PM,80,8,2,6.83,0
Paddle - lc_33_2M,82,2000,2/28/2021 8:37:55 PM,110,11,1,13.34,0
Paddle - lc_33_2M,83,2000,2/28/2021 8:37:55 PM,20,2,2,3.79,0
Paddle - lc_33_2M,84,2000,2/28/2021 8:37:55 PM,10,1,2,3.13,0
Paddle - lc_33_2M,85,2000,2/28/2021 8:37:55 PM,10,1,1,2.88,0
Paddle - lc_33_2M,86,2000,2/28/2021 8:37:55 PM,80,8,1,5.65,0
Paddle - lc_33_2M,87,2000,2/28/2021 8:37:55 PM,20,2,2,2.72,0
Paddle - lc_33_2M,88,2000,2/28/2021 8:37:55 PM,20,2,1,3.53,0
Paddle - lc_33_2M,89,2000,2/28/2021 8:37:55 PM,20,2,0,3.13,0
Paddle - lc_33_2M,90,2000,2/28/2021 8:37:55 PM,160,16,3,18.18,0
Paddle - lc_33_2M,91,2000,2/28/2021 8:37:55 PM,10,1,0,6.87,0
Paddle - lc_33_2M,92,2000,2/28/2021 8:37:55 PM,160,16,3,13.59,0
Paddle - lc_33_2M,93,2000,2/28/2021 8:37:55 PM,100,10,5,9.38,0
Paddle - lc_33_2M,94,2000,2/28/2021 8:37:55 PM,90,9,1,12.07,0
Paddle - lc_33_2M,95,2000,2/28/2021 8:37:55 PM,40,4,2,4.99,0
Paddle - lc_33_2M,96,2000,2/28/2021 8:37:55 PM,80,8,4,8.7,0
Paddle - lc_33_2M,97,2000,2/28/2021 8:37:55 PM,70,7,1,5.33,0
Paddle - lc_33_2M,98,2000,2/28/2021 8:37:55 PM,170,17,2,14.75,0
Paddle - lc_33_2M,99,2000,2/28/2021 8:37:55 PM,20,2,1,3.17,0
Paddle - lc_33_2M,100,2000,2/28/2021 8:37:55 PM,110,11,4,14.05,0
Paddle - lc_33_2M,101,2000,2/28/2021 8:37:55 PM,200,20,54,51.51,0
Paddle - lc_33_2M,102,2000,2/28/2021 8:37:55 PM,20,2,3,3.45,0
Paddle - lc_33_2M,103,2000,2/28/2021 8:37:55 PM,130,13,5,13.51,0
Paddle - lc_33_2M,104,2000,2/28/2021 8:37:55 PM,10,1,1,1.3,0
Paddle - lc_33_2M,105,2000,2/28/2021 8:37:55 PM,30,3,4,5.25,0
Paddle - lc_33_2M,106,2000,2/28/2021 8:37:55 PM,100,10,1,8.67,0
Paddle - lc_33_2M,107,2000,2/28/2021 8:37:55 PM,80,8,3,6.8,0
Paddle - lc_33_2M,108,2000,2/28/2021 8:37:55 PM,200,20,4,25.7,0
Paddle - lc_33_2M,109,2000,2/28/2021 8:37:55 PM,120,12,1,13.29,0
Paddle - lc_33_2M,110,2000,2/28/2021 8:37:55 PM,200,20,6,13.89,0
Paddle - lc_33_2M,111,2000,2/28/2021 8:37:55 PM,70,7,0,5.33,0
Paddle - lc_33_2M,112,2000,2/28/2021 8:37:55 PM,170,17,2,20.69,0
Paddle - lc_33_2M,113,2000,2/28/2021 8:37:55 PM,110,11,1,12.39,0
Paddle - lc_33_2M,114,2000,2/28/2021 8:37:55 PM,180,18,4,13.11,0
Paddle - lc_33_2M,115,2000,2/28/2021 8:37:55 PM,60,6,4,8,0
Paddle - lc_33_2M,116,2000,2/28/2021 8:37:55 PM,180,18,3,23.07,0
Paddle - lc_33_2M,117,2000,2/28/2021 8:37:55 PM,50,5,3,6.16,0
Paddle - lc_33_2M,118,2000,2/28/2021 8:37:55 PM,170,17,3,17.96,0
Paddle - lc_33_2M,119,2000,2/28/2021 8:37:55 PM,150,15,1,21.49,0
Paddle - lc_33_2M,120,2000,2/28/2021 8:37:55 PM,40,4,0,2.52,0
Paddle - lc_33_2M,121,2000,2/28/2021 8:37:55 PM,180,18,2,8.73,0
Paddle - lc_33_2M,122,2000,2/28/2021 8:37:55 PM,10,1,1,3.19,0
Paddle - lc_33_2M,123,2000,2/28/2021 8:37:55 PM,120,12,2,11.1,0
Paddle - lc_33_2M,124,2000,2/28/2021 8:37:55 PM,20,2,2,4.11,0
Paddle - lc_33_2M,125,2000,2/28/2021 8:37:55 PM,90,9,1,8.86,0
Paddle - lc_33_2M,126,2000,2/28/2021 8:37:55 PM,140,14,0,6.89,0
Paddle - lc_33_2M,127,2000,2/28/2021 8:37:55 PM,50,5,3,5.54,0
Paddle - lc_33_2M,128,2000,2/28/2021 8:37:55 PM,70,7,5,13.25,0
Paddle - lc_33_2M,129,2000,2/28/2021 8:37:55 PM,10,1,0,3.07,0
Paddle - lc_33_2M,130,2000,2/28/2021 8:37:55 PM,30,3,1,4.17,0
Paddle - lc_33_2M,131,2000,2/28/2021 8:37:55 PM,100,10,1,11.77,0
Paddle - lc_33_2M,132,2000,2/28/2021 8:37:55 PM,10,1,1,2.76,0
Paddle - lc_33_2M,133,2000,2/28/2021 8:37:55 PM,20,2,1,3.77,0
Paddle - lc_33_2M,134,2000,2/28/2021 8:37:55 PM,150,15,2,16.78,0
Paddle - lc_33_2M,135,2000,2/28/2021 8:37:55 PM,70,7,1,6.24,0
Paddle - lc_33_2M,136,2000,2/28/2021 8:37:55 PM,190,19,4,29.69,0
Paddle - lc_33_2M,137,2000,2/28/2021 8:37:55 PM,70,7,3,6.32,0
Paddle - lc_33_2M,138,2000,2/28/2021 8:37:55 PM,160,16,4,17.04,0
Paddle - lc_33_2M,139,2000,2/28/2021 8:37:55 PM,140,14,1,7.16,0
Paddle - lc_33_2M,140,2000,2/28/2021 8:37:55 PM,50,5,3,6.32,0
Paddle - lc_33_2M,141,2000,2/28/2021 8:37:55 PM,20,2,1,4.64,0
Paddle - lc_33_2M,142,2000,2/28/2021 8:37:55 PM,40,4,0,2.74,0
Paddle - lc_33_2M,143,2000,2/28/2021 8:37:55 PM,10,1,3,2.64,0
Paddle - lc_33_2M,144,2000,2/28/2021 8:37:55 PM,50,5,1,3.63,0
Paddle - lc_33_2M,145,2000,2/28/2021 8:37:55 PM,150,15,2,13.79,0
Paddle - lc_33_2M,146,2000,2/28/2021 8:37:55 PM,20,2,0,2.79,0
Paddle - lc_33_2M,147,2000,2/28/2021 8:37:55 PM,90,9,2,12.58,0
Paddle - lc_33_2M,148,2000,2/28/2021 8:37:55 PM,10,1,2,5.25,0
Paddle - lc_33_2M,149,2000,2/28/2021 8:37:55 PM,110,11,1,4.89,0
Paddle - lc_33_2M,150,2000,2/28/2021 8:37:55 PM,10,1,1,1.08,0
Paddle - lc_33_2M,151,2000,2/28/2021 8:37:55 PM,80,8,1,4.47,0
Paddle - lc_33_2M,152,2000,2/28/2021 8:37:55 PM,110,11,3,12.97,0
Paddle - lc_33_2M,153,2000,2/28/2021 8:37:55 PM,160,16,1,14.45,0
Paddle - lc_33_2M,154,2000,2/28/2021 8:37:55 PM,90,9,1,11.45,0
Paddle - lc_33_2M,155,2000,2/28/2021 8:37:55 PM,20,2,0,3.79,0
Paddle - lc_33_2M,156,2000,2/28/2021 8:37:55 PM,40,4,1,5.55,0
Paddle - lc_33_2M,157,2000,2/28/2021 8:37:55 PM,10,1,0,1.08,0
Paddle - lc_33_2M,158,2000,2/28/2021 8:37:55 PM,40,4,4,10.5,0
Paddle - lc_33_2M,159,2000,2/28/2021 8:37:55 PM,10,1,0,2.11,0
Paddle - lc_33_2M,160,2000,2/28/2021 8:37:55 PM,150,15,4,18.14,0
Paddle - lc_33_2M,161,2000,2/28/2021 8:37:55 PM,10,1,2,4.67,0
Paddle - lc_33_2M,162,2000,2/28/2021 8:37:55 PM,180,18,2,28.47,0
Paddle - lc_33_2M,163,2000,2/28/2021 8:37:55 PM,80,8,2,6.7,0
Paddle - lc_33_2M,164,2000,2/28/2021 8:37:55 PM,20,2,1,3.99,0
Paddle - lc_33_2M,165,2000,2/28/2021 8:37:55 PM,80,8,3,7.92,0
